	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DCTN1	303.2314692	0.318088317	0.444364684	0.715827176	0.47409807	0.999652389
DCTN2	103.1042856	0.162567495	0.413445231	0.393202008	0.694170287	0.999652389
DCTN3	24.60613821	0.298482457	0.554277457	0.538507301	0.590226866	0.999652389
DCTN4	55.529523	0.00648791	0.336314843	0.019291178	0.984608822	0.999652389
DCTN5	85.22653212	-0.039157816	0.271662177	-0.144141583	0.885388669	0.999652389
DCTN6	4.300904543	2.866812917	1.388445811	2.064763993	0.038945336	0.999652389
DCTPP1	15.5623344	-0.103527619	0.657895694	-0.157361752	0.874959756	0.999652389
DCUN1D1	18.6251784	0.721595436	0.496782461	1.452538067	0.146352053	0.999652389
DCUN1D2	13.92460096	-1.215488989	0.53373521	-2.277325845	0.022766775	0.999652389
DCUN1D3	54.53668929	0.488021417	0.426104026	1.145310506	0.252080555	0.999652389
DCUN1D4	17.78731225	0.308783367	0.935993325	0.329899112	0.741476195	0.999652389
DCUN1D5	13.93401785	-0.08604747	0.599548606	-0.143520424	0.885879182	0.999652389
DCXR	5.913328612	0.600482579	0.813792755	0.737881451	0.460586492	0.999652389
DDA1	37.68006379	0.027233199	0.405267199	0.067198133	0.946423972	0.999652389
DDAH1	104.4813958	0.664726252	0.647590142	1.026461352	0.304674172	0.999652389
DDAH2	49.51801214	0.687180037	0.590940015	1.162859206	0.244886631	0.999652389
DDB1	203.8119296	-0.100368815	0.427016074	-0.235046924	0.814172313	0.999652389
DDB2	13.46152899	0.395872908	0.63640862	0.622042027	0.533914233	0.999652389
DDHD1	62.47285117	-0.327006585	0.274738286	-1.190247598	0.23394909	0.999652389
DDHD2	33.36862809	0.667567521	0.357396928	1.867860264	0.061781551	0.999652389
DDI1	0.949950498	-2.574252274	2.321790287	-1.108735914	0.267544124	0.999652389
DDI2	66.40391399	-0.409959652	0.322495857	-1.27120905	0.203654288	0.999652389
DDIAS	8.113751161	0.864327068	1.198536367	0.721152141	0.470815914	0.999652389
DDIT3	55.47945903	0.341236782	0.487792826	0.699552685	0.4842067	0.999652389
DDIT4	78.45798495	0.539165996	0.553555535	0.974005247	0.330053934	0.999652389
DDIT4L	4.60358076	2.054324472	1.279413176	1.605677127	0.108344869	0.999652389
DDN	1.3744223	-0.479010896	2.093325936	-0.22882767	0.81900286	0.999652389
DDO	1.194516476	1.011605186	1.891570758	0.534796376	0.592790669	0.999652389
DDOST	317.9339492	0.17522988	0.269301401	0.650683134	0.515251053	0.999652389
DDR1	76.38960282	-0.118977732	0.47746248	-0.249187605	0.803215667	0.999652389
DDR2	486.4791957	0.101725435	0.481136049	0.21142759	0.83255363	0.999652389
DDRGK1	38.36213533	0.273609073	0.567895947	0.481794375	0.629952026	0.999652389
DDT	19.33810992	0.299387208	0.711491329	0.420788274	0.673909695	0.999652389
DDTL	6.323543769	-0.766128289	0.840234406	-0.911803044	0.361872408	0.999652389
DDX1	105.5438532	-0.126964606	0.293092155	-0.433190053	0.664876704	0.999652389
DDX10	27.21026816	-0.520603258	0.507640777	-1.025534752	0.305110936	0.999652389
DDX11	26.82142199	0.486353879	0.652508195	0.745360568	0.456053775	0.999652389
DDX17	285.7055433	-0.229819806	0.197886333	-1.161372802	0.245490325	0.999652389
DDX18	22.26205431	0.303353698	0.541412398	0.560300611	0.575274411	0.999652389
DDX19A	32.40531458	-0.552769467	0.821429818	-0.672935721	0.500988185	0.999652389
DDX19B	16.09864084	-0.258257566	0.541566323	-0.476871539	0.6334536	0.999652389
DDX20	11.63446522	0.321571723	0.518500091	0.620196078	0.535128703	0.999652389
DDX21	94.62237201	0.200918068	0.376008043	0.534345135	0.59310277	0.999652389
DDX23	52.02606935	0.250716617	0.470144537	0.533275613	0.593842806	0.999652389
DDX24	115.5656689	0.200150068	0.376609376	0.531452695	0.595105114	0.999652389
DDX25	3.506578437	-0.377628552	0.834398211	-0.452575936	0.65085413	0.999652389
DDX27	45.46801404	0.273316096	0.369369364	0.739953342	0.459328306	0.999652389
DDX28	10.03609393	0.053213205	0.707718904	0.075189746	0.940063742	0.999652389
DDX31	16.4226242	-0.330278611	0.596813467	-0.553403416	0.5799872	0.999652389
DDX39A	27.58776833	0.306643564	0.854815936	0.35872467	0.719801071	0.999652389
DDX39B	69.78017674	-0.349796243	0.389402054	-0.898290698	0.36903059	0.999652389
DDX3X	151.3042621	0.808167601	0.526729362	1.534312797	0.124952719	0.999652389
DDX3Y	19.47801874	0.72796974	1.044519016	0.696942544	0.485838752	0.999652389
DDX42	122.1998989	-0.295668941	0.251230567	-1.176882833	0.239242275	0.999652389
DDX43	1.126640822	0.557318211	1.831218497	0.304342825	0.760866722	0.999652389
DDX46	63.50403542	-0.398497207	0.74301763	-0.536322681	0.591735558	0.999652389
DDX47	20.3828413	-0.138408834	0.616832854	-0.224386287	0.82245674	0.999652389
DDX49	7.471161639	3.601742717	1.829621587	1.968572486	0.049002205	0.999652389
DDX5	190.8504213	0.59747719	0.295453071	2.022240581	0.043151504	0.999652389
DDX50	25.93295168	0.149049955	0.338501611	0.440322733	0.659703378	0.999652389
DDX51	22.20495148	-0.281953506	0.522348145	-0.539780812	0.589348201	0.999652389
DDX52	24.58517446	0.015064245	0.637089639	0.023645409	0.981135451	0.999652389
DDX54	83.75555824	0.209500746	0.416240899	0.5033161	0.614742048	0.999652389
DDX55	21.17831325	0.391245192	0.400011735	0.978084285	0.32803264	0.999652389
DDX56	14.40974056	-1.014789024	0.942814398	-1.076340186	0.281775142	0.999652389
DDX58	18.06776051	0.672229778	0.447818718	1.501120324	0.133324443	0.999652389
DDX59	12.82436366	0.355771334	0.469101644	0.758409906	0.448205629	0.999652389
DDX6	203.787992	0.179989864	0.367005865	0.490427759	0.623831238	0.999652389
DDX60	23.45575437	1.002281713	0.717410821	1.397081956	0.162388927	0.999652389
DDX60L	33.16280139	-0.824242224	0.71283817	-1.156282392	0.247565668	0.999652389
DEAF1	19.68228524	-0.592156677	0.700977381	-0.84475861	0.398245628	0.999652389
DECR1	18.73195648	-0.384668303	0.545333435	-0.705381842	0.480572641	0.999652389
DECR2	7.004756976	-0.369522486	1.235073561	-0.29919067	0.764794568	0.999652389
DEDD	19.21480525	0.366092234	0.760118462	0.481625236	0.630072195	0.999652389
DEDD2	10.97401085	1.119654441	1.115512325	1.003713196	0.315516874	0.999652389
DEF6	1.592295334	0.505417736	1.420428817	0.355820531	0.721974972	0.999652389
DEF8	38.13880535	0.286486743	0.427207311	0.670603558	0.502473115	0.999652389
DEFB1	0.041952918	0.31934238	3.819700862	0.083604029	0.933371264	0.999652389
DEFB103A	0.020635509	0.153630753	3.819700862	0.040220624	0.967917235	0.999652389
DEFB103B	0.020635509	0.153630753	3.819700862	0.040220624	0.967917235	0.999652389
DEFB119	0.037839774	0.065897046	3.819700862	0.017251887	0.986235669	0.999652389
DEFB131A	0.143309368	0.650676636	3.817511649	0.170445226	0.864660007	0.999652389
DEFB131B	0.272005201	0.537449748	3.807885101	0.141141272	0.887758339	0.999652389
DEGS1	91.87416647	0.039546208	0.391717477	0.100955944	0.919585433	0.999652389
DEGS2	2.129510095	-0.506574631	1.578173079	-0.320988007	0.74821948	0.999652389
DEK	94.11527056	-0.240368052	0.381410993	-0.630207459	0.52855886	0.999652389
DELE1	31.05400265	-0.24872322	0.362844865	-0.685480889	0.493040516	0.999652389
DENND1A	41.33962772	-0.037047653	0.463365621	-0.079953392	0.936274325	0.999652389
DENND1B	4.529974718	-0.551891552	0.815714858	-0.676574107	0.498676212	0.999652389
DENND1C	0.030655319	-0.655432609	3.819700862	-0.171592654	0.863757783	0.999652389
DENND2A	15.99336199	-1.260453572	0.895606911	-1.407373654	0.159316619	0.999652389
DENND2C	11.21464699	-0.583379098	0.857706505	-0.68016168	0.496402093	0.999652389
DENND2D	1.601153003	0.458981208	1.345182641	0.341203636	0.732950286	0.999652389
DENND3	48.74536286	-1.131082032	0.71788577	-1.57557383	0.115124051	0.999652389
DENND4A	35.05894529	0.155942276	0.298638824	0.522176835	0.601547213	0.999652389
DENND4B	63.55189674	-0.370414611	0.619879337	-0.597559216	0.550134084	0.999652389
DENND4C	46.74265741	-0.487120056	0.571664599	-0.852108136	0.394154077	0.999652389
DENND5A	110.7896187	-0.307717129	0.448030096	-0.686822451	0.49219462	0.999652389
DENND5B	40.85169371	-0.719917065	0.438192672	-1.64292356	0.10039875	0.999652389
DENND6A	37.58064368	0.10617702	0.447961581	0.237022603	0.812639255	0.999652389
DENND6B	10.88303061	-1.371618588	0.693063426	-1.97906647	0.047808523	0.999652389
DENR	66.19075975	0.746844744	0.310478875	2.405460735	0.016152088	0.999652389
DEPDC1	9.452747714	1.929042931	1.074972637	1.794504218	0.072732726	0.999652389
DEPDC1B	3.44993447	0.546334031	1.840673322	0.296812055	0.766610001	0.999652389
DEPDC4	0.175126674	0.898226939	3.818579849	0.235225391	0.814033799	0.999652389
DEPDC5	11.95520991	-0.4258338	0.630247083	-0.675661676	0.499255473	0.999652389
DEPDC7	2.317647414	-0.711650702	1.301988006	-0.546587756	0.584661983	0.999652389
DEPP1	99.70009762	0.264096361	0.868320786	0.304146078	0.761016604	0.999652389
DEPTOR	51.49522346	0.192409438	1.077214447	0.17861758	0.85823799	0.999652389
DERA	10.09452005	-0.044849929	0.726848491	-0.061704646	0.95079804	0.999652389
DERL1	52.52411975	-0.256699905	0.348424148	-0.736745447	0.461277164	0.999652389
DERL2	14.47149745	0.613949413	0.524573366	1.170378545	0.241848666	0.999652389
DERL3	0.760812888	-1.529232919	2.280106862	-0.670684758	0.502421375	0.999652389
DERPC	46.8914487	-0.706373523	0.738732233	-0.95619697	0.33897273	0.999652389
DES	2.352395078	-0.255365128	1.949424426	-0.130995141	0.895779151	0.999652389
DESI1	46.09894981	0.005248776	0.455202131	0.011530649	0.990800077	0.999652389
DESI2	44.99026782	0.367267522	0.355230075	1.033886338	0.301189302	0.999652389
DET1	4.469100428	-1.588900642	1.251962915	-1.269127562	0.204395572	0.999652389
DEUP1	0.204323262	-4.184236234	3.767348596	-1.1106581	0.266715544	0.999652389
DEXI	30.95110278	0.277143302	0.521232031	0.531708118	0.594928169	0.999652389
DFFA	134.504875	-0.210967983	0.337607132	-0.624891962	0.532041968	0.999652389
DFFB	3.94013213	2.921619414	1.497101671	1.951517035	0.050995572	0.999652389
DGAT1	16.93271835	0.115426212	0.691895227	0.166826143	0.867506848	0.999652389
DGAT2	2.817843539	-0.391743176	1.302745097	-0.30070593	0.763638746	0.999652389
DGCR2	78.23873525	0.115819219	0.271197017	0.427066716	0.669330735	0.999652389
DGCR6	1.944808593	-0.016229901	2.329015441	-0.006968568	0.994439933	0.999652389
DGCR6L	30.44858985	-0.311186975	0.677810578	-0.459106106	0.646157972	0.999652389
DGCR8	20.3175826	-0.920660503	0.704169825	-1.307441004	0.191062979	0.999652389
DGKA	19.73569976	-0.158744496	0.848915105	-0.186996904	0.85166306	0.999652389
DGKB	2.651212516	-2.313131865	1.240793193	-1.864236424	0.06228851	0.999652389
DGKD	31.24321499	-0.776661099	0.916064474	-0.847823621	0.396536206	0.999652389
DGKE	8.151909989	-0.948979161	0.846152663	-1.121522395	0.262065564	0.999652389
DGKG	1.913451835	0.432275074	2.08818467	0.207009984	0.836002062	0.999652389
DGKH	58.97751816	-0.387816079	0.469472593	-0.826067559	0.408765769	0.999652389
DGKI	24.71545096	0.715060242	0.735110551	0.972724771	0.33069011	0.999652389
DGKK	0.137953815	0.315901844	3.81956654	0.082706203	0.934085153	0.999652389
DGKQ	33.45735536	-0.528335206	0.623376878	-0.84753738	0.396695661	0.999652389
DGKZ	60.5759598	0.021824231	0.381450627	0.057213777	0.954374904	0.999652389
DGLUCY	38.51308072	-0.30251157	0.335125717	-0.902680859	0.366695298	0.999652389
DGUOK	15.55355483	-0.035774437	0.60369847	-0.059258783	0.95274599	0.999652389
DHCR24	117.2018712	0.252184643	0.465942131	0.541235973	0.588344946	0.999652389
DHCR7	33.56180638	-0.118255938	0.865130868	-0.136691387	0.891274738	0.999652389
DHDDS	52.30314072	-0.432084949	0.43726907	-0.988144323	0.323081971	0.999652389
DHFR	60.18034545	0.259387758	0.453109972	0.572460936	0.567009744	0.999652389
DHFR2	9.327911552	-0.064260289	0.601176088	-0.106890959	0.914875486	0.999652389
DHH	2.472795598	-2.742813474	1.67918062	-1.633423732	0.102379909	0.999652389
DHODH	15.12161367	-0.18160981	0.640890011	-0.28337126	0.776892257	0.999652389
DHPS	16.87927147	1.107787003	0.968638027	1.143654256	0.252767051	0.999652389
DHRS1	4.305643707	1.237648358	1.291654147	0.958188661	0.337967634	0.999652389
DHRS11	2.405422159	-0.68408934	1.665079404	-0.410844875	0.681186286	0.999652389
DHRS12	1.115978008	-0.955095172	1.520709542	-0.628058907	0.529965352	0.999652389
DHRS13	5.284202645	0.330520528	1.160227124	0.284875712	0.775739364	0.999652389
DHRS2	3.995635081	-0.013201807	3.753696299	-0.003517015	0.997193834	0.999652389
DHRS3	78.75510616	-1.147247623	0.830300059	-1.381726534	0.167055684	0.999652389
DHRS4	12.74929689	-1.151964236	0.585834332	-1.966365188	0.049256442	0.999652389
DHRS4L2	11.22974569	0.519317744	0.641398066	0.809665278	0.418132579	0.999652389
DHRS7	19.77224486	0.394082839	0.672223769	0.586237586	0.557715867	0.999652389
DHRS7B	12.1623551	0.672342106	0.619371918	1.085522424	0.277690337	0.999652389
DHRS9	0.566898256	0.015268747	2.491056334	0.006129426	0.995109456	0.999652389
DHRSX	18.41096483	0.122785188	0.416828186	0.294570262	0.768322182	0.999652389
DHTKD1	42.18221955	-0.265903885	0.535431691	-0.496615888	0.619459947	0.999652389
DHX15	81.22737632	0.282113815	0.285704701	0.987431476	0.32343116	0.999652389
DHX16	53.78587701	0.138515036	0.307750846	0.450088237	0.652646818	0.999652389
DHX29	29.80977442	1.244145417	0.826817039	1.504740901	0.132390703	0.999652389
DHX30	79.23566323	-0.357824893	0.342695391	-1.044148541	0.296416671	0.999652389
DHX32	31.26564508	0.592548592	0.503900407	1.175924019	0.23962524	0.999652389
DHX33	40.158044	-0.31396762	0.554618715	-0.566096331	0.571328298	0.999652389
DHX34	36.57957656	-0.682319444	0.549621763	-1.241434547	0.214445264	0.999652389
DHX35	10.83281571	0.382412115	0.672677317	0.568492657	0.569700491	0.999652389
DHX36	40.41340619	0.162477717	0.372613642	0.43604876	0.662801352	0.999652389
DHX37	54.18543327	-0.120768942	0.679272577	-0.177791576	0.858886663	0.999652389
DHX38	76.06887116	-0.460192462	0.359372859	-1.280543176	0.20035417	0.999652389
DHX40	27.95261946	0.904439794	0.516644575	1.750603485	0.080014235	0.999652389
DHX57	15.68382965	-0.212763704	0.675403094	-0.315017367	0.752748468	0.999652389
DHX58	8.431802969	2.100154268	1.039344688	2.020652332	0.043315768	0.999652389
DHX8	59.60756794	-0.528212384	0.312150095	-1.692174352	0.090612735	0.999652389
DHX9	100.6994654	-0.086800392	0.427488106	-0.203047503	0.839097904	0.999652389
DIABLO	6.442267389	1.183056374	1.175494962	1.006432535	0.31420755	0.999652389
DIAPH1	207.1458367	-0.237409139	0.312816015	-0.758941766	0.447887393	0.999652389
DIAPH2	34.73827601	0.245042704	0.454406728	0.53925853	0.589708479	0.999652389
DIAPH3	30.74649685	0.383238149	0.501144195	0.764726306	0.444434538	0.999652389
DICER1	73.31292982	-0.144435858	0.332193689	-0.434794106	0.663711884	0.999652389
DIDO1	169.7722205	-0.24979857	0.286641893	-0.871465671	0.383499942	0.999652389
DIMT1	11.88966275	0.99148948	0.625086018	1.586164867	0.112701915	0.999652389
DIO1	0.851239095	-5.496201163	2.382526477	-2.306879364	0.021061546	0.999652389
DIO2	3.023886735	-0.090492934	1.425858359	-0.063465584	0.949395764	0.999652389
DIO3	0.037839774	0.065897046	3.819700862	0.017251887	0.986235669	0.999652389
DIP2A	57.90657481	-0.352916722	0.509707641	-0.692390488	0.488692138	0.999652389
DIP2B	64.41866166	0.236123818	0.449755787	0.525004514	0.599580053	0.999652389
DIP2C	108.6373787	-0.229518306	0.431313278	-0.532138281	0.594630226	0.999652389
DIPK1A	13.66396881	0.060549026	0.648587131	0.093355268	0.925621326	0.999652389
DIPK1B	6.139694622	0.555668666	1.107353997	0.501798582	0.61580921	0.999652389
DIPK2A	12.38846802	0.223045463	0.60622605	0.367924577	0.712929474	0.999652389
DIPK2B	4.100938017	0.22152574	1.007845812	0.219801221	0.826025969	0.999652389
DIRAS1	52.06364461	0.141119616	0.615824878	0.229155431	0.818748112	0.999652389
DIRAS2	1.287048252	-1.881590272	1.531205767	-1.228829144	0.219135872	0.999652389
DIRAS3	2.528119062	2.45205709	2.010310086	1.219740729	0.222563177	0.999652389
DIRC1	3.228714854	-0.681116493	0.879596386	-0.774351173	0.43872315	0.999652389
DIS3	27.752183	-0.076441976	0.476537312	-0.160411313	0.872557078	0.999652389
DIS3L	22.77614493	0.772200931	0.754081627	1.024028305	0.305821906	0.999652389
DIS3L2	19.6223475	0.543639284	0.523514819	1.03844106	0.299064762	0.999652389
DISC1	7.791563949	-0.204870166	0.989797373	-0.206981925	0.836023974	0.999652389
DISP1	11.716117	-0.85442218	0.488598596	-1.748720089	0.080339416	0.999652389
DISP2	15.07916714	-1.205608839	0.691061354	-1.74457569	0.081058755	0.999652389
DISP3	0.346337861	1.336314973	3.804281249	0.351266083	0.725388738	0.999652389
DIXDC1	32.41691978	0.004711566	0.403941719	0.011663976	0.990693705	0.999652389
DKC1	34.48528945	0.819250505	0.558663839	1.466446273	0.142526748	0.999652389
DKK1	48.28098207	0.844815345	0.879843495	0.960188204	0.336960502	0.999652389
DKKL1	0.288566783	1.048034697	3.81508779	0.274707885	0.783540673	0.999652389
DLAT	11.58285557	0.449708727	0.639386443	0.70334417	0.481841291	0.999652389
DLC1	145.626346	-0.416778986	0.580286124	-0.718230143	0.472615395	0.999652389
DLD	16.42318307	0.35090014	0.797639698	0.439923114	0.659992794	0.999652389
DLEC1	0.3035978	-1.39304077	3.804798251	-0.366127368	0.714270036	0.999652389
DLG1	89.08827776	0.099632803	0.254832844	0.390973165	0.695817072	0.999652389
DLG3	13.1177548	-0.213459453	0.687102511	-0.310666093	0.756054476	0.999652389
DLG4	45.61466314	-0.769763726	0.379991525	-2.025739193	0.042791518	0.999652389
DLG5	193.8768822	-0.375453663	0.400567588	-0.937304152	0.348602128	0.999652389
DLGAP1	6.071105695	0.836252409	1.424675786	0.586977344	0.557218923	0.999652389
DLGAP2	0.04562375	-0.148551099	3.819700862	-0.038890768	0.968977477	0.999652389
DLGAP3	1.26087775	-0.207244012	2.154832215	-0.096176403	0.923380472	0.999652389
DLGAP4	254.1141985	-0.052566276	0.249518543	-0.21067082	0.833144146	0.999652389
DLGAP5	20.51524123	0.646770662	1.009347205	0.64078115	0.521664882	0.999652389
DLK1	0.079792692	0.387574125	3.819700862	0.101467141	0.919179641	0.999652389
DLK2	4.510931312	-0.40405287	0.858955633	-0.470400163	0.638069148	0.999652389
DLL1	2.108251999	-0.951082326	1.270776783	-0.748425954	0.454203273	0.999652389
DLL3	0.540513137	0.795712101	3.783929443	0.210287246	0.833443489	0.999652389
DLST	103.936413	-0.730149398	0.370562004	-1.970383874	0.048794392	0.999652389
DLX1	3.747171252	2.779721372	1.970738105	1.410497603	0.158392804	0.999652389
DLX2	1.013716294	-2.579238257	1.914896291	-1.346933653	0.178001602	0.999652389
DLX3	15.03732423	-0.105198622	1.076533607	-0.097719775	0.922154813	0.999652389
DLX4	2.451261115	-1.080938874	2.035184279	-0.531125798	0.595331608	0.999652389
DLX5	2.33308846	3.010195356	2.235180173	1.346734994	0.178065598	0.999652389
DLX6	1.989499977	-0.229744441	1.424047962	-0.161331954	0.871831957	0.999652389
DMAC1	6.768865949	1.247460444	0.756048289	1.649974562	0.098948139	0.999652389
DMAC2	20.3102484	0.631264811	0.712569144	0.885899728	0.375671563	0.999652389
DMAC2L	36.69078628	-0.522962172	0.393111587	-1.330314827	0.183414564	0.999652389
DMAP1	12.64545999	0.754889299	0.781375958	0.966102542	0.333992873	0.999652389
DMBT1	0.320920472	-5.555214627	3.755134619	-1.479364974	0.139042796	0.999652389
DMBX1	1.96675797	0.094979337	1.543945846	0.061517272	0.950947259	0.999652389
DMC1	3.907415494	-0.536908309	0.875332322	-0.613376538	0.539627396	0.999652389
DMD	44.08057674	1.348485953	0.901246503	1.49624542	0.134589712	0.999652389
DMGDH	2.082289088	0.648132717	1.994815544	0.324908596	0.745250251	0.999652389
DMPK	59.5167493	-0.176308059	0.501511099	-0.351553652	0.725173029	0.999652389
DMRT1	0.071500486	0.432425289	3.819013442	0.11322958	0.909848545	0.999652389
DMRT2	0.075679549	0.132151647	3.819694445	0.034597439	0.972400743	0.999652389
DMRTA1	2.665971705	0.654814425	1.686206027	0.388335953	0.697767434	0.999652389
DMRTA2	0.519314758	2.127019541	3.796081417	0.56031979	0.575261331	0.999652389
DMRTC2	0.316255273	1.512110418	3.801293174	0.397788423	0.690786152	0.999652389
DMTF1	28.1459273	0.468523831	0.587084095	0.798052332	0.424840122	0.999652389
DMTN	1.367880152	1.23981397	1.545268044	0.802329392	0.422362445	0.999652389
DMWD	84.36211473	-0.177382686	0.346609005	-0.511765948	0.608814825	0.999652389
DMXL1	52.23804155	0.282508837	0.365393598	0.773163073	0.439425877	0.999652389
DMXL2	48.64783623	0.456316821	0.456967655	0.998575754	0.31800025	0.999652389
DNA2	6.919749406	0.749808434	0.828204074	0.905342605	0.365283912	0.999652389
DNAAF2	11.97924412	-0.366726485	0.716834875	-0.511591299	0.608937076	0.999652389
DNAAF3	0.53634564	-1.376553086	2.984947582	-0.461164911	0.644680294	0.999652389
DNAAF4	3.863569288	-0.21824808	1.076409962	-0.202755537	0.839326112	0.999652389
DNAAF5	47.546805	-0.489453885	0.513756418	-0.952696391	0.340743923	0.999652389
DNAH1	27.30449682	-0.314384747	0.652947595	-0.481485419	0.63017154	0.999652389
DNAH10	1.515841399	-1.629159334	1.736366947	-0.938257513	0.348112088	0.999652389
DNAH11	10.65559996	2.590107173	1.290612167	2.006882656	0.044762159	0.999652389
DNAH12	0.469620181	-0.221214933	2.372589561	-0.093237759	0.925714678	0.999652389
DNAH14	4.905174967	-1.503941175	1.259791166	-1.193801969	0.232555441	0.999652389
DNAH17	0.745143007	-5.192761477	3.745828683	-1.386278422	0.165661903	0.999652389
DNAH2	4.358406924	0.484678888	0.972991335	0.498132789	0.618390451	0.999652389
DNAH3	0.281783232	-0.454190552	3.810298182	-0.11920079	0.905116281	0.999652389
DNAH5	3.553931343	-1.971982313	1.082718682	-1.821324732	0.068557509	0.999652389
DNAH6	14.11188079	2.655133043	3.093259969	0.858360781	0.390693277	0.999652389
DNAH7	3.129508388	0.091253615	1.560148255	0.058490348	0.95335805	0.999652389
DNAH8	0.442667492	0.908946925	3.796943201	0.239389129	0.810803859	0.999652389
DNAJA1	93.37681808	0.348596162	0.315286088	1.105650313	0.268877904	0.999652389
DNAJA2	19.61332664	0.85474533	0.665496835	1.284371742	0.199011915	0.999652389
DNAJA3	27.04070069	1.284657083	0.839850224	1.529626409	0.126109229	0.999652389
DNAJA4	3.029168158	1.682937434	1.44108069	1.167830119	0.242875297	0.999652389
DNAJB1	106.7948765	0.484940867	0.267670811	1.8117062	0.070031605	0.999652389
DNAJB11	45.95246595	0.3001744	0.413345879	0.726206346	0.467712282	0.999652389
DNAJB12	51.64836739	-0.067271289	0.258775585	-0.259959955	0.794894663	0.999652389
DNAJB13	1.844006939	0.676142402	1.318533897	0.51279865	0.608092174	0.999652389
DNAJB14	11.21893477	0.80387113	0.889604038	0.903628014	0.366192682	0.999652389
DNAJB2	45.66683901	0.177474415	0.516709968	0.343470083	0.731244844	0.999652389
DNAJB4	14.23475159	1.670454456	0.858480402	1.945827129	0.051675509	0.999652389
DNAJB5	22.98112249	0.449925745	0.512847458	0.877309106	0.380318767	0.999652389
DNAJB6	67.3909752	0.196081142	0.345946956	0.566795395	0.5708532	0.999652389
DNAJB7	1.887170822	-1.046696711	1.388823385	-0.753657176	0.451055102	0.999652389
DNAJB8	0.081135566	-0.579151436	3.81899374	-0.151650271	0.879462781	0.999652389
DNAJB9	11.76229226	0.722462408	0.755621108	0.956117292	0.339012979	0.999652389
DNAJC1	34.34468734	-0.277870536	0.288906492	-0.961800941	0.336149605	0.999652389
DNAJC10	103.7028554	-0.312741498	0.350659802	-0.891865838	0.372464847	0.999652389
DNAJC11	52.50130792	-0.212926476	0.390009759	-0.545951662	0.585099165	0.999652389
DNAJC12	1.268282218	3.476308667	3.278301129	1.060399435	0.288962919	0.999652389
DNAJC13	147.1711486	0.331180723	0.732696642	0.452002512	0.651267173	0.999652389
DNAJC14	103.2598049	-0.524653466	0.45940643	-1.142024646	0.253443775	0.999652389
DNAJC15	15.66819954	0.574421791	0.627707123	0.915111156	0.360133279	0.999652389
DNAJC16	42.83726512	-0.08454878	0.381987127	-0.221339345	0.824828217	0.999652389
DNAJC17	6.817325453	-1.024641618	0.877515719	-1.167661838	0.242943196	0.999652389
DNAJC18	19.70485413	0.188169887	0.530246836	0.354872248	0.7226853	0.999652389
DNAJC19	4.634720097	0.871672001	1.118428233	0.779372316	0.435760427	0.999652389
DNAJC2	19.30818366	0.864192488	0.664554328	1.300409087	0.193460797	0.999652389
DNAJC21	53.29216886	0.322108928	0.391379433	0.823009337	0.410502684	0.999652389
DNAJC22	7.717293121	-1.77847269	1.108343017	-1.604622994	0.108576798	0.999652389
DNAJC24	14.6751331	-0.105442898	0.561896801	-0.187655274	0.851146893	0.999652389
DNAJC25	5.941350246	0.638701117	1.250746631	0.510655877	0.609592042	0.999652389
DNAJC25-GNG10	5.528532915	1.196801506	1.413002673	0.846991679	0.39699976	0.999652389
DNAJC27	4.419636196	-1.408402293	0.944907774	-1.490518263	0.136088018	0.999652389
DNAJC28	2.374546754	0.04415606	1.154219515	0.038256206	0.969483408	0.999652389
DNAJC3	96.76097779	0.102985579	0.375510459	0.274254889	0.783888749	0.999652389
DNAJC30	12.00680603	-0.443528628	0.561560705	-0.789814215	0.429636276	0.999652389
DNAJC4	14.14077198	-0.132746349	0.526962855	-0.251908361	0.801111897	0.999652389
DNAJC5	109.7574315	0.259602648	0.573345158	0.452785979	0.650702861	0.999652389
DNAJC5B	0.124411796	-0.291566947	3.819117392	-0.076344065	0.939145369	0.999652389
DNAJC5G	0.704157062	-2.129376352	2.791603268	-0.762779001	0.445595207	0.999652389
DNAJC6	9.664508169	0.97845106	0.802811199	1.218781031	0.222927313	0.999652389
DNAJC7	62.82244044	-0.154615453	0.410040742	-0.377073392	0.706119064	0.999652389
DNAJC8	14.27705563	-0.683893098	1.553787058	-0.440145961	0.659831395	0.999652389
DNAJC9	35.17141456	0.853859526	0.601501114	1.419547705	0.155739399	0.999652389
DNAL1	34.87806671	-0.280262171	0.337452796	-0.830522591	0.40624338	0.999652389
DNAL4	8.368051973	0.326180573	0.959788902	0.33984616	0.733972384	0.999652389
DNALI1	2.905121137	0.098388133	1.626298111	0.060498215	0.951758837	0.999652389
DNASE1	45.63421302	-0.774759368	0.41909555	-1.848646133	0.064508927	0.999652389
DNASE1L2	2.47219048	-0.723985612	1.267986224	-0.570972774	0.568018099	0.999652389
DNASE1L3	1.2170172	-1.789467898	1.528719509	-1.170566535	0.241773055	0.999652389
DNASE2	62.37866828	0.213149375	0.493691069	0.431746468	0.66592569	0.999652389
DND1	0.068976908	0.153630753	3.819700862	0.040220624	0.967917235	0.999652389
DNER	43.27386998	-5.332656417	3.560739669	-1.497626031	0.13423044	0.999652389
DNHD1	23.78633025	-0.675541162	0.844443565	-0.799983788	0.42372019	0.999652389
DNLZ	6.545255109	-1.017726382	0.89782545	-1.133545927	0.256985066	0.999652389
